Order,Family,genus_species,Adult_habitat,Activity_period,Sex_dichromatism,AH_source,AP_source,SD_source
Caudata,Salamandridae,Lissotriton_vulgaris,Ground-dwelling,Nocturnal,Present,AmphibiaWeb (2019),AmphibiaWeb (2019),AmphibiaWeb (2020)
Anura,Ranidae,Lithobates_catesbeianus,Semiaquatic,Both,Absent,Dodd (2013b),Dodd (2013b) - both; Anderson and Wiens (2017) - nocturnal; JWS pers. obs. - both,Bell et al. (2017) - absence of dynamic dichromatism
Anura,Ranidae,Lithobates_pipiens,Semiaquatic,Both,Absent,AmphibiaWeb (2019),Anderson and Wiens (2017),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Ranidae,Lithobates_sphenocephalus,Semiaquatic,Nocturnal,Absent,"Butterfield, Lannoo, and Nanjappa (2005)","Butterfield, Lannoo, and Nanjappa (2005)","Butterfield, Lannoo, and Nanjappa (2005); Bell et al. (2017)"
Anura,Leptodactylidae,Lithodytes_lineatus,Ground-dwelling,Both,Absent,pers. obs.; AmphibiaWeb (2020),CFBH pers. obs.; Anderson and Wiens (2017),pers. obs.
Anura,Mantellidae,Mantella_betsileo,Ground-dwelling,Both,Absent,IUCN (2020),Glaw and Vences (2007),Bell et al. (2017)
Anura,Mantellidae,Mantella_viridis,Ground-dwelling,Diurnal,Absent,IUCN (2020),Glaw and Vences (2007),AmbphibiaWeb (2020); Bell et al. (2017)
Anura,Megophryidae,Megophrys_nasuta,Ground-dwelling,Nocturnal,Absent,Inger (1966); Fei and Ye (2016),Anderson and Wiens (2017),Bell et al. (2017) - absence of dynamic dichromatism
Caudata,Salamandridae,Notophthalmus_viridescens,Aquatic,Both,Present,AmphibiaWeb (2020),AmphibiaWeb (2020),Davis and Grayson (2008)
Anura,Dendrobatidae,Oophaga_pumilio,Ground-dwelling,Diurnal,Present,Graves (1999),Graves (1999),Bell et al. (2012)
Anura,Hylidae,Osteocephalus_taurinus,Scansorial,Nocturnal,Absent,AmphibiaWeb (2019),AmphibiaWeb (2019),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Hylidae,Osteopilus_septentrionalis,Scansorial,Nocturnal,Present,IUCN (2019),JWS pers. obs. in Florida,Bell et al. (2017)
Anura,Pelobatidae,Pelobates_cultripes,Ground-dwelling,Nocturnal,Absent,AmphibiaWeb (2019); Degani (2015); Cogãlniceanu et al. (1998),Anderson and Wiens (2017),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Microhylidae,Phrynomantis_microps,Subfossorial,Nocturnal,Absent,IUCN (2019); Rödel (2000),Anderson and Wiens (2017); Rödel (2000),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Phyllomedusidae,Phyllomedusa_distincta,Scansorial,Nocturnal,Absent,Haddad et al. (2013),Haddad et al. (2013),CFBH unpublished data; Bell et al. (2017)
Anura,Phyllomedusidae,Phyllomedusa_vaillantii,Scansorial,Nocturnal,Absent,IUCN (2019),IUCN (2019),Bell et al. (2017)
Anura,Leptodactylidae,Physalaemus_cuvieri,Ground-dwelling,Nocturnal,Absent,IUCN (2019); Haddad et al. (2013),Anderson and Wiens (2017); Haddad et al. (2013),Bell et al. (2017) - absence of dynamic dichromatism
Anura,Phyllomedusidae,Pithecopus_hypochondrialis,Scansorial,Nocturnal,Absent,IUCN (2019),IUCN (2019),Bell et al. (2017)
Anura,Rhacophoridae,Polypedates_leucomystax,Scansorial,Nocturnal,Absent,Taylor (1962),Vidal et al. (2018),Bell et al. (2017)
Anura,Craugastoridae,Pristimantis_chiastonotus,Ground-dwelling,Nocturnal,Absent,IUCN (2019),Lynch and Hoogmoed (1977),JWS & DG pers. obs.
Anura,Craugastoridae,Pristimantis_zeuctotylus,Scansorial,Nocturnal,Absent,Lynch & Hoogmoed (1977),Lynch and Hoogmoed (1977),Lynch and Hoogmoed (1977)
