order,family,species,stage,n_lenses,n_specimens,diam_mm,approx_size,t450nm,t50,pUVA,pigment
Anura,Phyllomedusidae,Phyllomedusa distincta,adult,1,1,4.5,4.5,93.8,362,55.2,I
Anura,Phyllomedusidae,Phyllomedusa vaillantii,adult,2,1,4,4,85.1,348,54.6,N
Anura,Leptodactylidae,Physalaemus cuvieri,adult,1,1,1.5,1.5,87.6,360,50,N
Anura,Rhacophoridae,Polypedates leucomystax,adult,1,1,4,4,91.3,391,16.6,H/I
Anura,Craugastoridae,Pristimantis chiastonotus,adult,1,1,1,1,74.6,364,46.3,N
Anura,Craugastoridae,Pristimantis zeuctotylus,adult,2,1,2.5,2.5,74.5,388,25.9,I
Anura,Odontophrynidae,Proceratophrys boiei,adult,1,1,1,1,91.5,332,69.2,N
Anura,Ranidae,Lithobates pipiens,adult,16,8,2.7-3.9,3.3,99.9,392,15.4,H
Anura,Ranidae,Rana temporaria,adult,5,4,2.0-4.0,3,97.5,392,15.2,H
Anura,Bufonidae,Rhaebo guttatus,adult,2,1,8,8,78.3,365,43.4,N
Anura,Bufonidae,Rhinella icterica,adult,1,1,6.5,6.5,92,338,63.5,N
Anura,Bufonidae,Rhinella marina,adult,2,1,3.5,3.5,79.3,362,43.9,N
Anura,Rhinophrynidae,Rhinophrynus dorsalis,adult,4,3,1.0-1.5,1.25,81.9,349,53.5,N
Caudata,Salamandridae,Salamandra salamandra,adult,2,1,1.9-2.0,1.95,97.1,317,73.9,N
Anura,Scaphiopodidae,Scaphiopus couchii,adult,2,2,4.5-5.0,4.75,86.7,342,59.4,N
Anura,Hylidae,Scinax boesemani,adult,1,1,1.5,1.5,85.2,376,41.5,I
Anura,Hylidae,Scinax cruentomma,adult,1,1,2.5,2.5,72.2,397,20.6,I/H
Anura,Hylidae,Scinax hayii,adult,1,1,3.5,3.5,88.2,387,26.6,I
Anura,Bufonidae,Sclerophrys maculata,adult,2,1,3,3,86.7,359,44.1,N
Anura,Scaphiopodidae,Spea bombifrons,adult,2,1,3.5,3.5,82,349,49.3,N
Anura,Scaphiopodidae,Spea multiplicata,adult,1,1,4,4,89.9,354,50.6,N
Anura,Centrolenidae,Vitreorana uranoscopa,adult,1,1,2,2,89.1,361,46.6,N
Anura,Pipidae,Xenopus laevis,adult,5,3,2,2,89.4,352,52.9,N
