Wavelength_nm,Ceratobatrachus_guntheri_JWS881_field,Mantella_betsileo_JWS882_field,Epipedobates_tricolor_JWS883_field,Boophis_erythrodactylus_JWS884_field,Phrynomantis_microps_JWS885_field,Hemisus_marmoratus_JWS886_field,Kassina_senegalensis_JWS888_field,Hyperolius_fusciventris_JWS889_field,Lepidobatrachus_laevis_JWS890_field,Kaloula_pulchra_JWS891_field,Megophrys_sp_MW11584_field,Adenomera_hylaedactylus_MW9950_field,Boana_calcarata_MW11133_field,Boana_cinerascens_MW11090_field,Boana_diabolica_MW11091_field,Callimedusa_tomopterna_MW11132_field,Chiasmocleis_shudikarensis_MW9969_field,Dendropsophus_leucophyllatus_MW9992_field_1,Dendropsophus_leucophyllatus_MW9992_field_2,Dendropsophus_sp_MW11106_field_1,Dendropsophus_sp_MW11106_field_2,Dendropsophus_sp_MW11106_field_1b,Hyalinobatrachium_cappellei_MW11140_field_2,Hyalinobatrachium_cappellei_MW11140_field_1,Leptodactylus_mystaceus_MW11105_field,Leptodactylus_pentadactylus_MW9968_cornea_field,Leptodactylus_pentadactylus_MW9968_field,Leptodactylus_pentadactylus_MW9998_field,Leptodactylus_rhodomystax_MW11075_field_1,Leptodactylus_rhodomystax_MW11075_field_2,Lithodytes_lineatus_MW11155_field,Osteocephalus_oophagus_MW10000_field,Osteocephalus_taurinus_MW11103_field,Phyllomedusa_vaillantii_MW9985_field,Pristimantis_chiastonotus_MW9949_field,Pristimantis_sp_MW11550_field,Pristimantis_zeuctotylus_MW11112_field,Rhaebo_guttatus_MW11187_cornea_field,Rhaebo_guttatus_MW11187_field,Rhinella_margaritifer_MW11115_field,Rhinella_marina_MW9997_cornea_field,Rhinella_marina_MW9997_field,Scinax_boesmani_MW9993_field,Scinax_sp_MW11111_field,Phyllomedusa_sp_tad_MW11127_field
662.170,33.73762205,12.37229709,81.49641466,24.32649604,80.09391739,56.01904341,35.42218885,48.52524556,69.2841353,50.27857072,96.42226343,22.03405687,63.02653106,94.76232469,127.640881,103.0796417,52.3780296,27.37704577,26.95572535,89.09845839,76.86927843,25.58750775,18.9933378,25.83187159,81.31544442,60.70059799,26.80376692,101.3684445,48.90371097,68.19500447,63.31927544,47.68060607,106.8381381,22.52870244,26.01088761,34.91762539,46.99236627,87.21740191,101.6812082,112.2630622,99.6346164,85.12391708,86.41736397,61.43009983,23.96621027
662.444,34.18831838,12.5608,81.68082158,24.84516573,79.52674681,56.07304815,35.35151833,47.89217058,69.40520971,50.21162385,96.51976765,22.12904432,61.96644968,94.19971642,128.798804,103.5760092,52.92369925,27.19144941,26.97060019,89.8422111,77.27142055,25.69737877,20.44291539,25.30053029,80.80125427,60.20306059,26.57648827,100.7315633,48.82089114,67.35465645,63.28604274,47.42566042,106.3664825,22.53701552,26.03595693,34.80454142,47.17325828,87.31175337,101.7069669,112.1092051,98.78609359,84.80773977,85.23836537,61.40487985,23.99503529
662.718,33.8513695,12.72753783,81.32292137,25.07241528,80.31276431,55.91567824,35.40076322,48.48621559,69.45967041,50.44482045,95.29230289,22.17824909,62.94925794,94.4471856,129.7798622,103.9113629,53.07672505,26.99958844,26.99307317,91.21238762,78.1133097,25.66180172,19.40014198,24.64676506,80.42231441,59.94321152,26.84055515,101.6596421,48.89000537,67.16691386,63.19064955,47.99472862,106.3718119,22.45328068,25.82876814,34.98027953,47.38350554,87.94349041,101.479694,112.278321,98.50331393,84.93232079,86.17991438,60.60119128,24.13581849
662.992,33.78941104,12.62527514,82.84377163,24.98117104,80.78373022,56.08123707,35.54389002,48.72156705,69.03924978,50.4750311,94.80783251,22.17981081,62.84218258,93.66049149,130.7014865,102.8724667,52.73418827,26.64144309,26.91204562,90.35594443,77.85989341,25.99598026,17.34284392,24.36985517,81.58460584,59.01923897,27.15179893,102.2486895,48.82421332,67.09119964,63.10906072,48.54702476,105.9513596,22.1157448,25.96460697,35.43642922,47.08617243,87.23341917,101.1942915,111.7622006,98.74817763,85.91679402,86.41937816,61.57602941,24.02747245
663.267,33.75496642,12.99229677,83.31123474,24.83644714,82.11391172,57.01271913,36.30464243,48.98382835,68.57702163,50.36117031,93.88033245,22.34445959,63.23936506,95.02684013,130.9879555,103.2104466,52.04926278,26.81696263,27.02266466,90.03566585,77.33596047,26.20957768,15.78184569,24.55058603,81.22031969,59.28098999,27.23631189,102.7353576,48.65765775,68.1492144,63.72962358,48.2524712,105.7986922,22.03432405,25.68987516,35.48730265,47.35029942,86.89519871,100.7914584,113.1447415,99.01099423,84.99002445,86.51809678,60.92263831,24.28612964
663.541,34.02209208,12.85933021,84.24297064,25.0097278,81.51339584,57.13555704,36.16344611,49.07321915,68.89857486,50.40203535,94.81145221,22.39995726,62.94898665,94.70527242,132.7348601,103.2677444,52.40283471,26.96570363,27.05443129,89.91866139,76.55329866,26.17286893,16.29652502,24.31862058,81.55248857,59.09350407,27.06213596,102.4679812,48.39699533,69.30118062,63.47397439,47.64217518,105.4931872,22.12602868,25.89787179,35.55688985,47.99453985,86.1129453,100.4846397,112.8562889,100.3896838,85.39925654,86.23908328,61.81885715,24.07942667
663.815,33.9269949,12.72601487,83.82409074,24.9735198,81.1519995,56.99555402,36.40452835,48.68430536,68.98281442,50.65809249,94.97092549,22.23139669,63.29973669,95.2130721,132.3579961,103.286279,51.90347189,26.84682204,26.79803103,90.91821443,76.48209403,25.90919018,16.97669127,23.95589087,81.28369494,58.85289598,26.76509705,101.9135519,48.31401164,69.28008363,63.77645557,47.21275014,105.3143098,22.27856151,25.83952554,35.37668444,48.11301615,86.92512088,100.8419229,113.1205808,100.8870782,84.98761723,86.06017807,61.36855627,23.67041591
664.089,33.84206454,12.15902256,83.76528517,24.99979559,80.3705132,56.05822677,36.37561296,48.55577642,69.52534584,50.92172942,95.52816646,22.32720409,63.69363365,93.84747089,131.9297913,103.6521386,52.56427722,26.99578848,26.94218488,90.59469978,77.02238561,25.64685443,17.98830478,24.22195108,81.72141665,59.59186624,26.84328006,101.8317916,48.91263395,69.34347225,63.00376292,48.25047113,106.3573655,22.32760363,25.99500944,35.53736844,48.33260465,88.05516071,101.6029793,112.4037724,101.2761287,87.15737091,86.17526142,62.09926885,23.77214112
664.363,34.24420339,12.42605919,83.14752247,24.66149087,80.52621603,55.50037043,36.17689844,48.51722575,69.3019908,51.35752346,95.27472681,22.33069534,63.9481093,93.96131471,131.144173,103.770671,52.55405438,27.44247226,26.92304141,90.64644342,77.45536588,25.77020445,17.55004682,24.82962558,81.50580765,59.80094789,26.46423765,102.0273729,49.35020727,68.13818509,63.07856025,48.65301772,107.8368331,22.23905291,25.89239808,35.59351644,47.99998922,88.7567739,101.7958179,111.979003,100.4973841,87.02148361,86.25237278,61.54270065,23.57741447
664.637,34.62294384,12.70707485,83.20603619,24.92163636,80.56435977,55.77129988,35.72642632,48.73460185,69.47809127,50.71184032,94.91498695,22.65851906,64.15459121,93.63087594,132.1204169,103.9862101,52.86022917,27.89622718,27.14612978,90.32427173,77.86758156,25.741067,17.42076335,24.5571959,80.32831854,59.95049357,26.64985883,102.4879849,49.89980987,68.5234994,62.77618548,49.09334555,107.9954652,22.17465512,25.75937468,35.72292236,47.96337004,88.6537369,101.1966574,111.6982853,99.91695648,86.91120916,85.84258747,61.73090283,23.92096631
664.911,34.58296161,12.69136961,82.85925451,24.65261933,80.52540543,55.59848737,35.32922498,48.4956855,69.31300175,50.0440792,95.36064512,22.55507778,63.57729564,94.45448534,130.964138,103.7869315,53.25069274,27.30441943,26.63054814,90.61231618,77.23800523,25.86623924,17.27663631,24.34627932,81.29300159,58.97758971,26.89887412,102.4072772,49.45508418,67.9872851,63.46442032,48.3851453,107.5537649,22.142608,25.37632613,35.82665879,48.13970555,87.6910967,100.153754,110.8072119,100.1416334,86.18499269,85.5302674,61.36120885,23.82284083
665.185,33.99486733,12.47754234,83.0223355,24.90815764,80.87433852,55.51548228,35.49318254,48.690832,69.36823183,48.96923517,95.67175736,22.57651603,63.14495986,94.9128612,131.5873431,103.7570282,53.27495357,27.01266834,26.60361501,89.92164564,76.87107054,25.91384956,17.70082664,23.00205409,80.97297512,59.04344821,27.16589033,102.6412739,49.03144467,68.26870658,64.08641087,48.60940705,107.286151,22.24392372,25.3099593,35.26392595,48.44372748,87.78334207,99.99556138,110.5871773,100.4112874,85.06164884,85.82940065,61.54867739,24.07036701
665.459,33.92626474,12.37437228,81.82946923,24.95647969,81.7553682,56.01457107,35.6878289,48.74747279,69.61415281,49.19100203,96.1316203,22.20812707,62.10120968,95.44280777,130.4297573,103.8207662,54.07643369,27.14330174,27.03881693,90.00197388,76.66066174,25.85440275,17.48138735,23.52756991,82.9024601,59.06781323,27.16056555,102.0966332,48.74310674,68.49459167,64.53978021,48.46670537,107.8562202,21.88785424,25.46184599,35.21575889,48.59188964,87.84316571,100.311691,110.4991513,101.3140598,84.76500439,86.30270917,61.2947401,23.9468643
665.733,33.63840741,12.82772783,82.7014743,25.37676942,81.86743198,56.38769504,35.91008332,49.22858269,69.68116119,50.2831777,95.11303239,22.3097948,61.86933625,95.19620787,130.5856747,103.7279662,54.12281788,27.59234103,27.46573356,90.1494543,77.47469033,25.79492253,18.19779655,22.55223602,81.47316972,59.55944803,26.5266074,101.7626548,48.71161756,68.54874233,63.58854276,48.25865006,107.1129741,22.03367384,25.8205542,34.83132972,47.75052098,88.51401024,101.1975082,111.5456465,100.3116443,85.10432829,87.56051153,61.85659144,24.17275839
