Order,Family,Subfamily,Genus,Species,tiplabel_WalterPyron2019,match_WalterPyron2019,Field_number,MSP_name,Life_stage,Sex,Expedition
Anura,Hylidae,Cophomantinae,Aplastodiscus,leucopygius,Aplastodiscus_leucopygius,exact,CFBH 44039,GUINLE TREEFROG,adult,male,Brazil_2018
Anura,Hylidae,Scinaxinae ,Scinax,hayii,Scinax_hayii,exact,CFBH 44046,HAY'S SNOUTED TREEFROG,adult,male,Brazil_2018
Anura,Brachycephalidae ,NA,Ischnocnema,henselii,Ischnocnema_henselii,exact,CFBH 44063,HENSEL'S ROBBER FROG,adult,male,Brazil_2018
Anura,Centrolenidae,Centroleninae,Vitreorana,uranoscopa,Vitreorana_uranoscopa,exact,CFBH 44038,HUMBOLDT'S GLASS FROG,adult,male,Brazil_2018
Anura,Hylidae,Cophomantinae,Boana,pardalis,Hypsiboas_pardalis,exact,CFBH 44040,LEOPARD TREEFROG,adult,male,Brazil_2018
Anura,Hylidae,Lophyohylinae,Itapotihyla,langsdorffii,Itapotihyla_langsdorffii,exact,CFBH 44045,OCELLATED TREEFROG,adult,male,Brazil_2018
Anura,Brachycephalidae ,NA,Brachycephalus,pitanga,Brachycephalus_pitanga,exact,CFBH 44042,PITANGA PUMPKIN TOADLET,adult,male,Brazil_2018
Anura,Phyllomedusidae,NA,Phyllomedusa,distincta,Phyllomedusa_distincta,exact,CFBH 44055,SAO PAULO LEAF FROG,adult,male,Brazil_2018
Anura,Hylidae,Scinaxinae ,Scinax,sp. C (cf. rizibilis),Scinax_rizibilis,sub,CFBH 44068,SNOUTED TREEFROG C-AD,adult,male,Brazil_2018
Anura,Hylidae,Scinaxinae ,Scinax,sp. A,Scinax_peixotoi,sub,CFBH 44066,SNOUTED TREEFROG TAD A,tadpole,unknown,Brazil_2018
Anura,Hylidae,Scinaxinae ,Scinax,sp. B,Scinax_ranki,sub,CFBH 44067,SNOUTED TREEFROG TAD B,tadpole,unknown,Brazil_2018
Anura,Brachycephalidae ,NA,Brachycephalus,ephippium,Brachycephalus_ephippium,exact,CFBH 44059,SPIX'S SADDLEBACK TOAD,adult,male,Brazil_2018
Anura,Hylidae,Cophomantinae,Bokermannohyla,circumdata,Bokermannohyla_circumdata,exact,CFBH 44047,THIGH BARRED TREEFROG,adult,male,Brazil_2018
Anura,Hylodidae,NA,Hylodes,phyllodes,Hylodes_phyllodes,exact,CFBH 44037,TORRENT FROG,adult,male,Brazil_2018
Caudata,Salamandridae,Pleurodelinae,Notopthalmus,viridescens,Notophthalmus_viridescens,exact,RCB1462,EASTERN NEWT EFT,sub-adult,,Cornell_Jun-2019
Anura,Hyperoliidae,NA,Hyperolius,riggenbachi,Hyperolius_riggenbachi,exact,RCB1464,RIGGENBACH REED FROG FEMALE,adult,female,Cornell_Jun-2019
Anura,Hyperoliidae,NA,Hyperolius,riggenbachi,Hyperolius_riggenbachi,exact,RCB1465,RIGGENBACH REED FROG MALE,adult,male,Cornell_Jun-2019
Caudata,Sirenidae,NA,Siren,intermedia,Siren_intermedia,exact,RCB1460,SIREN,adult,,Cornell_Jun-2019
Caudata,Ambystomatidae,NA,Ambystoma,texanum,Ambystoma_texanum,exact,CXM004,SMALL MOUTH SALAMANDER,adult,,Cornell_Jun-2019
Anura,Hylidae,Acridinae,Pseudacris,clarkii,Pseudacris_clarkii,exact,RCB1463,SPOTTED CHORUS FROG,adult,male,Cornell_Jun-2019
Anura,Ranidae,NA,Lithobates,sphenocephalus,Rana_sphenocephala,exact,RCB1461,TEXAS LEOPARD FROG ADULT,adult,,Cornell_Jun-2019
Anura,Scaphiopodidae,NA,Scaphiopus,couchii,Scaphiopus_couchii,exact,RCB 1022,COUCH'S SPADEFOOT,adult,unknown,Cornell_Jul-2018
Anura,Rhinophrynidae,NA,Rhinophrynus,dorsalis,Rhinophrynus_dorsalis,exact,RCB 1021,MEX_BURROWING_FROG,adult,unknown,Cornell_Jul-2018
Anura,Scaphiopodidae,NA,Spea,multiplicata,Spea_multiplicata,exact,RCB 1023,NEW MEXICO SPADEFOOT,adult,unknown,Cornell_Jul-2018
Anura,Dendrobatidae,Dendrobatinae,Dendrobates,auratus,Dendrobates_auratus,exact,RCB 0895,RCB0895_Dend_auratus_DARTFROG,adult,male,Cornell_May-2017
Anura,Ceratophryidae,NA,Ceratophrys,ornata,Ceratophrys_ornata,exact,RCB 0896,RCB0896_Cera_orna_PACMAN,adult,unknown,Cornell_May-2017
Anura,Bombinatoridae,NA,Bombina,orientalis,Bombina_orientalis,exact,RCB 0897,RCB0897_Bomb_orie_FIREBELLY,adult,unknown,Cornell_May-2017
Anura,Rhacophoridae,Rhacophorinae,Polypedates,leucomystax,Polypedates_leucomystax,exact,RCB 0898,RCB0898_Poly_leuc_GOLDENTREEFROG,adult,unknown,Cornell_May-2017
Anura,Bufonidae,NA,Anaxyrus,terrestris,Anaxyrus_terrestris,exact,RCB 0899,RCB0899_Anax_terr_SOUTHERN TOAD,adult,unknown,Cornell_May-2017
Anura,Microhylidae,Gastrophryninae,Gastrophryne,olivacea,Gastrophryne_olivacea,exact,RCB 0900,RCB0900_Gast_oliv_NARROWMOUTHTOAD,adult,unknown,Cornell_May-2017
Anura,Hylidae,Hylinae,Hyla,cinerea,Hyla_cinerea,exact,RCB 0901,RCB0901_Hyla_cine_AMGRNTREEFROG,adult,unknown,Cornell_May-2017
Anura,Ranidae,NA,Rana,clamitans,Rana_clamitans,exact,RCB 0902,RCB0902_Rana_clam_GREENFROG,adult,unknown,Cornell_May-2017
Anura,Leptodactylidae,Leptodactylinae,Lithodytes,lineatus,Lithodytes_lineatus,exact,MW 11155,ANTS NEST FROG/ADULT,adult,unknown,FrenchGuiana_Apr-2018
Anura,Leptodactylidae,Leptodactylinae,Lithodytes,lineatus,Lithodytes_lineatus,exact,MW 11156,ANTS NEST FROG/TINY-TAD,tadpole,unknown,FrenchGuiana_Apr-2018
Anura,Leptodactylidae,Leptodactylinae,Lithodytes,lineatus,Lithodytes_lineatus,exact,MW 11156,ANTS NST FROG/BIG-TAD,tadpole,unknown,FrenchGuiana_Apr-2018
Anura,Phyllomedusidae,NA,Callimedusa,tomopterna,Phyllomedusa_tomopterna,exact,MW 11132,BANDED MONKEY FROG,adult,unknown,FrenchGuiana_Apr-2018
