Wavelength_nm,Xenopus_sp_X1_X2_X3_lab,Bufo_bufo_BbL1_lab,Rana_temporaria_JWS895-97_lab,Polypedates_leucomystax_F2_lab,Dyscophus_sp_F3_lab,Sclerophrys_sp_F1_lab,Osteopilus_septentrionalis_F4_lab,Leptodactylus_pentadactylus_MW9967_lab,Ceratobatrachus_guentheri_JWS881_lab,Boophis_erythrodactylus_JWS884_lab,Leptodactylus_knudseni_MW9968_lab,Dendropsophus_sp2_MW11111_lab,Boana_diabolica_MW11091_lab,Rhaebo_guttatus_MW11187_lab,Kassina_senegalensis_JWS888_lab,Lithodytes_lineatus_MW9997_MW11155_MW9952-54_lab,Rhinella_margaritifera_MW11115_lab,Callimedusa_tomopterna_MW11132_lab,Pristimantis_zeuctotylus_MW11112_lab,Leptodactylus_rhodomystax_MW11075_lab,Leptodactylus_pentadactylus_MW9998_lab,Leptodactylus_pentadactylus_MW9966_lab,Ceratophrys_cornuta_MW11322_lab,Osteocephalus_taurinus_MW9986-7_MW9999_MW11103_lab,Leptodactylus_pentadactylus_MW9965_lab,Trachycephalus_coriaceus_MW11326_lab,Dendropsophus_leucophyllatus_MW9989-92_lab,Lepidobatrachus_laevis_JWS890_lab,Epipedobates_tricolor_JWS883_lab,Calluella_guttulata_JWS887_lab,Hyperolius_fusciventris_JWS889_lab,Phrynomantis_microps_JWS885_lab,Mantella_betsileo_JWS882_lab,Hemisus_marmoratus_JWS886_lab,Leptodactylus_mystaceus_MW9982_lab,Boana_punctata_MW11268_lab,Hyalinobatrachium_cappellei_MW9957-9_MW11140_lab,Osteocephalus_oophagus_MW10000_lab,Leptodactylus_mystaceus_MW9984_lab,Scinax_nebulosus_MW11266_lab,Leptodactylus_mystaceus_MW9983_lab,Chiasmocleis_hudsoni_MW11335_lab,Eleutherodactylus_johnstonei_MW11542_lab,Dendropsophus_sp_MW11106_lab,Boana_cinerascens_MW11090_lab,Phyllomedusa_vaillantii_MW9985_lab,Leptodactylus_mystaceus_MW11105_lab,Scinax_boesemani_MW9993_lab,Pristimantis_chiastonotus_MW9949_lab,Boana_calcarata_MW11133_lab,Adenomera_sp_MW11574_lab,Pristimantis_sp_MW11550_lab,Spea_bombifrons_MKF969_lab,Leptodactylus_knudseni_MTR41575_lab,Ascaphus_truei_MKF929_MKF920_lab,Leptodactylus_podicipinus_MTR41588_lab,Kaloula_pulchra_MKF926_JWS891-2_lab,Rhinophrynus_dorsalis_MKF967-8_RCB1021_lab,Scaphiopus_couchii_MKF970_RCB1022_lab,Eleutherodactylus_marnockii_MKF923_lab,Heterixalus_alboguttatus_MKF921_lab,Spea_multiplicata_RCB1023_lab,Leptodactylus_podicipinus_MTR41570_lab,Scinax_rizibilis_CFBH44068_lab,Rhinella_icterica_CFBH44065_lab,Boana_bandeirantes_CFBH44064_lab,Ischnocnema_henselii_CFBH44063_lab,Leptodactylus_fuscus_CFBH44062_lab,Brachycephalus_ephippium_CFBH44059_lab,Phyllomedusa_distincta_CFBH44055_lab,Ischnocnema_parva_CFBH44054_lab,Proceratophrys_boiei_CFBH44053_lab,Haddadus_binotatus_CFBH44052_lab,Bokermannohyla_circumdata_CFBH44047_lab,Scinax_hayii_CFBH44046_lab,Itapotihyla_langsdorffii_CFBH44045_lab,Physalaemus_cuvieri_CFBH44041_lab,Boana_pardalis_CFBH44040_lab,Aplastodiscus_leucopygius_CFBH44039_lab,Vitreorana_uranoscopa_CFBH44038_lab,Hylodes_phyllodes_CFBH44032_lab,Hylodes_phyllodes_CFBH44037_lab,Boana_faber_CFBH44036_lab
494,93.17,98.65642994,97.13666667,90.11627907,83.44,88.18,88.95833333,70.165,88.52966222,80.921398,82.46,78.96,73.85277804,80.675,97.45,77.18316737,67.3607685,67.3112183,76.71,74.43236885,85.012,85.49459698,48.52605109,77.77825,56.67,53.65,78.493,95.86,75.39272727,90.54,97.546,87.77,77.595,86.5027644,60.825,74.408,80.16182423,82.24,63.368,68.0704,59.133,90.64648842,64.948,76.81909273,81.925,86.065,69.85655773,86.314,78.65133333,83.57033502,80.6295555,78.3828,83.53,57.51666667,92.6677252,64.57666667,84.43701926,83.36562222,85.76583333,78.725,89.63666667,92.86333333,84.88333333,96.22,93.67333333,90.87666667,97.24966551,89.35333333,91.66839668,94.21,85.89090915,92.418,99.21640282,88.57333333,90.18,98.22134917,90.056,90.60666667,90.63333333,89.91,87.74,96.6748,84.51
493,93.15,98.64576669,97.13111111,90.96511628,83.19,88.275,88.72395833,69.86,88.29562653,80.7485956,82.395,78.88,73.68334684,80.73,97.16,76.90767154,67.06772842,66.90225819,76.6,74.35352608,84.782,85.36232099,47.86334559,77.59775,56.48,53.382,78.16425,95.93,75.17272727,90.62,97.5132,87.7168,77.512,86.75599123,60.61,74.2992,79.94982868,82.58,63.026,67.94,58.871,90.44924748,64.872,76.62246442,82.055,86.205,69.67133038,86.242,78.538,83.43155845,80.83350202,78.2028,83.39166667,57.09,92.55410749,64.07333333,84.40610733,83.14911111,85.71666667,78.685,89.96333333,92.78333333,84.58,95.5,93.70333333,90.73666667,97.39409351,89.36666667,91.56924153,94.42,85.59161975,92.18033333,99.20153586,88.60333333,90.02,98.26152953,90.148,90.48,90.59666667,89.76666667,87.82666667,96.2276,84.39666667
492,93.12,98.96566432,97.19555556,90.72093023,82.96,88.425,88.63541667,69.49,88.07148551,80.56856933,82.26,78.59,73.56678779,80.86,96.74,76.60866586,66.72792663,66.46126765,76.345,74.22567294,84.632,85.14656986,47.19759084,77.4015,56.2,53.128,77.9475,95.89,74.99136364,90.32,97.4772,87.6584,77.337,86.92773591,60.285,74.2032,79.73665875,82.18,62.773,67.776,58.599,90.27082724,64.612,76.33645962,81.895,86.055,69.52917915,86.168,78.538,83.21813428,81.05376425,78.2348,83.53166667,56.6,92.70358522,63.79,84.34836883,83.02962222,85.6625,78.355,90.20666667,92.98666667,84.05333333,95.33,93.47666667,90.59666667,97.52080029,89.49666667,91.62653117,94.6,85.31427512,92.035,99.05322895,88.82666667,89.76,98.32403232,90.142,90.19666667,90.76,90.01333333,87.74,96.0028,84.3
491,93.07,99.01898059,97.30222222,90.04651163,82.86,88.365,88.61458333,69.04,87.78415418,80.47560963,82.145,78.5,73.44542217,80.575,96.8,76.34017198,66.3850074,66.03629232,75.9,74.05520209,84.588,84.91926063,46.54911521,77.2725,55.79,52.914,77.72425,95.846,74.9,90.3,97.5064,87.5946,77.153,86.99797914,59.965,74.1444,79.5815023,81.7,62.535,67.5524,58.339,90.13042482,64.614,76.07569053,81.835,85.915,69.32456754,86.128,78.52733333,82.91846398,80.81427277,78.1804,83.47833333,56.18,92.73259875,63.55666667,84.26966272,82.94538889,85.55333333,78.25,89.78333333,93.06333333,83.95666667,95.41,93.43333333,90.61,97.51193968,89.31666667,91.57768808,94.5,84.96035723,91.985,98.95206115,88.65333333,89.78333333,98.38742801,89.962,90.22333333,90.83666667,89.98666667,87.50666667,95.8324,84.06
490,93.03,98.93367456,97.43222222,90.12790698,82.5,88.375,88.75,68.475,87.49227048,80.41363649,82.085,78.28,73.23994178,80.325,97.14,76.09238699,66.08573243,65.59101198,75.685,73.86022605,84.476,84.71378336,45.92503365,77.21875,55.57,52.778,77.538,95.904,74.71727273,90.6,97.5116,87.4452,77.081,86.99165725,59.76,73.95,79.45599481,81.59,62.329,67.382,58.082,89.97308376,64.5,75.80756103,81.62,85.79,69.11564832,86.156,78.50733333,82.63557439,80.63363443,78.0128,83.2,55.67666667,92.56516997,63.44666667,84.18768619,82.78316667,85.47666667,78.2425,89.65666667,92.85333333,83.92666667,95.31,93.59333333,90.73,97.41092868,89.08333333,91.41353122,94.29,84.67554204,91.896,98.92595333,88.43,89.82666667,98.49189696,89.612,90.31333333,90.74666667,89.61666667,87.37666667,95.8044,83.78666667
489,92.99,98.8057155,97.41444444,90.79069767,82.48,88.355,88.80208333,68.21,87.71872478,80.21517036,81.885,77.81,73.00802531,80.465,97.29,75.81229257,65.83010173,65.05707596,76.165,73.60984698,84.422,84.50573762,45.31721481,77.04475,55.41,52.598,77.3945,95.888,74.66681818,90.7,97.4276,87.2376,77.064,86.8796193,59.335,73.6572,79.32584767,81.79,62.225,67.2376,57.755,89.67759877,64.212,75.50157794,81.115,85.77,68.87872961,86.128,78.48333333,82.40971295,80.81951711,77.9852,83.22833333,55.40666667,92.42249457,63.04,84.16367122,82.62645556,85.5625,77.8625,89.62333333,92.68333333,83.57333333,95.28,93.88,90.85333333,97.33384134,89.04333333,91.45576397,94.18,84.54107191,91.90666667,98.92268985,88.33333333,89.72666667,98.63118889,89.414,90.17666667,90.55,89.85,87.35,96.0252,83.60666667
488,92.97,98.68841971,97.42333333,91.31395349,82.51,88.06,88.73958333,67.88,87.72006248,80.04616999,81.705,77.77,72.88786134,80.5,97.09,75.52668591,65.60252805,64.53772523,76.17,73.35414071,84.328,84.27200723,44.71041238,76.8525,55.17,52.358,77.26225,95.848,74.58681818,90.93,97.298,87.0502,76.965,86.69382598,58.6,73.518,79.21479215,81.94,62.043,67.0456,57.413,89.41109766,64.11,75.36278149,80.935,86.12,68.32304755,85.994,78.352,82.29453338,80.76590832,77.806,83.19166667,55.24333333,92.27991424,62.99333333,84.11953291,82.49431111,85.55333333,77.6625,89.21333333,92.54333333,83.26666667,95.2,93.98,91.24666667,97.18232485,89.09333333,91.54243291,94.35,84.39679668,91.96066667,98.95641245,88.49666667,89.52333333,98.80262512,89.456,90.23,90.55,89.81333333,87.08,96.1776,83.45666667
487,92.92,98.50714438,97.36777778,91.58139535,82.19,88.13,88.66145833,67.595,87.39461486,79.98514736,81.74,77.79,72.72083341,80.175,96.57,75.26332647,65.41963779,64.05755459,75.755,73.10589253,84.104,84.07166689,44.08633082,76.7455,54.99,52.086,77.2275,95.962,74.44272727,91.07,97.176,86.8974,76.793,86.53648115,58.055,73.308,79.12073635,81.77,61.833,66.8656,57.078,89.22552555,63.94,75.20821272,80.77,86.27,67.62306046,85.946,78.32266667,82.23576029,80.67151021,77.3052,82.985,54.85666667,92.21839837,63.04,84.04955348,82.40834444,85.43333333,77.8825,89.06666667,92.6,83.35666667,95.36,93.67333333,91.31666667,96.99891014,89.15666667,91.56960877,94.61,84.26699566,91.97733333,98.96293941,88.89,89.28666667,98.92941649,89.652,90.44,90.67,89.28,86.92333333,96.0372,83.61666667
486,92.87,98.42183835,97.39888889,90.84883721,81.8,88.215,88.47395833,67.57,87.43002081,79.83572746,81.61,77.64,72.50694154,79.83,96.5,74.98387454,65.27311776,63.58281768,75.65,72.89813117,83.922,83.98048635,43.44395371,76.5945,54.81,51.742,77.023,96.086,74.40045455,90.66,97.0632,86.7538,76.654,86.30467851,57.705,72.846,79.00470469,81.46,61.692,66.712,56.691,89.09265141,63.666,74.98319423,80.945,86.235,67.14060782,85.984,78.542,82.06685495,80.82942309,76.9808,82.805,54.33333333,92.29697795,62.78333333,83.96487933,82.25754444,85.32333333,77.83,89.16,92.67333333,83.15333333,95.26,93.42666667,90.9,97.02017562,89.2,91.68125012,94.64,84.22917594,91.993,98.89368116,88.88666667,89.39,98.98031162,89.356,90.18333333,90.38333333,89.01666667,86.87333333,95.6112,83.59333333
485,92.83,98.46449136,97.28666667,89.91860465,81.67,88.035,88.35416667,67.215,87.57302032,79.72394769,81.41,77.41,72.28103327,79.67,96.88,74.75542923,65.0839926,63.10693683,75.455,72.75536183,83.716,83.88031618,42.86866029,76.442,54.69,51.334,76.77275,96.12,74.29590909,90.64,96.8412,86.6512,76.562,86.02194953,57.62,72.5516,78.89349786,81.17,61.552,66.5316,56.313,88.9070793,63.54,74.89276624,81.11,85.89,66.78738357,85.998,78.51733333,81.89215498,81.20643279,76.9064,82.78333333,53.97333333,92.34696922,62.47,83.97273311,82.22807778,85.1925,77.7,89.02333333,92.76666667,82.72666667,94.81,93.41666667,90.92666667,97.16371756,89.31333333,91.86744146,94.41,84.26372729,91.94133333,98.71310208,88.77333333,89.41,98.97316845,89.024,89.73,90.30333333,89.18,86.85666667,95.004,83.49666667
